gene	G14-1	G14-2	G14-3	448T-1	448T-2	448T-3	G179-1	G179-2	G179-3	559T-1	559T-2	559T-3
PATL2	0	1	0	2	6	2	12	22	38	10	5	6
PATZ1	127	192	218	325	372	424	698	801	849	632	430	442
PAUPAR	0	0	2	4	1	0	3	4	4	3	3	3
PAWR	336	518	485	3	2	8	626	596	438	15	21	19
PAX1	0	0	0	0	0	0	0	0	0	0	0	0
PAX2	0	3	1	0	0	0	0	1	0	1	0	0
PAX3	6	3	5	3	0	2	126	132	121	163	106	98
PAX4	0	0	0	0	0	0	0	0	0	0	0	0
PAX5	0	0	0	0	1	1	0	0	3	1	0	0
PAX6	50	90	91	101	117	120	399	353	403	473	331	213
PAX7	0	0	0	0	0	0	0	0	0	0	0	0
PAX8	40	84	109	92	108	110	17	14	27	55	41	45
PAX8-AS1	43	63	63	761	967	1066	17	29	28	426	307	380
PAX9	3	2	2	0	0	0	0	3	6	0	0	0
PAXBP1	249	407	404	758	842	805	1129	1084	1227	759	522	409
PAXBP1-AS1	30	40	44	71	57	83	117	134	150	117	83	70
PAXIP1	248	301	342	257	262	301	674	552	477	265	202	185
PAXIP1-AS1	52	93	97	124	157	128	265	276	289	155	94	81
PAXIP1OS	39	51	55	32	50	42	178	247	302	120	81	80
PBDC1	129	200	204	222	209	201	493	434	364	156	113	117
PBK	437	497	396	380	220	244	2556	1549	978	529	289	303
PBLD	13	15	27	57	77	87	176	201	192	119	70	56
PBOV1	5	12	9	7	5	10	7	13	8	13	6	9
PBRM1	1090	1567	1535	1190	1208	1321	3269	2879	2499	1267	875	897
PBX1	277	443	651	1107	1647	1795	4240	5520	6934	2506	1988	1667
PBX2	263	429	506	392	513	614	1319	1553	1940	800	554	546
PBX3	141	252	284	257	261	299	613	587	572	499	372	291
PBX4	7	15	14	41	44	50	39	49	40	26	26	12
PBXIP1	190	368	710	593	1141	1571	1136	1588	1988	1187	958	883
PC	202	232	273	788	652	744	586	823	1122	544	358	358
PCA3	2	5	3	2	3	9	9	10	8	7	2	6
PCAT1	4	5	4	5	6	3	11	9	12	5	2	4
PCAT18	5	8	13	10	10	10	18	15	10	11	9	6
PCAT19	2	7	4	8	17	14	17	14	8	11	2	5
PCAT2	0	0	0	0	0	0	0	0	0	0	0	0
PCAT4	0	0	0	0	0	0	0	0	0	0	0	0
PCAT5	3	2	0	2	5	2	1	3	4	3	1	1
PCAT6	4	6	23	5	11	12	27	28	39	18	14	10
PCBD1	162	256	272	208	219	223	387	368	311	100	81	80
PCBD2	55	91	66	126	107	130	132	138	159	97	75	60
PCBP1	1259	1956	1824	1989	2054	2202	4759	4737	4914	1574	1092	1243
PCBP1-AS1	4	14	16	31	38	33	33	65	67	41	24	25
PCBP2	2538	3611	3887	3294	3719	4165	10085	10402	11026	3875	2682	2780
PCBP2-OT1	3	7	2	4	9	2	6	6	9	9	7	0
PCBP3	0	0	0	0	0	0	30	50	77	0	0	0
PCBP4	362	541	712	1931	2129	2659	2042	2400	2842	1234	914	894
PCCA	56	77	84	138	139	149	432	458	459	148	90	101
PCCA-AS1	0	0	0	0	0	0	0	1	0	0	0	1
PCCB	464	702	839	667	799	869	1454	1378	1495	711	482	460
PCDH1	26	22	22	1093	999	1060	407	524	522	266	156	145
PCDH10	16	18	19	619	538	653	36	46	59	551	327	114
PCDH11X	6	9	16	23	27	25	12	12	9	16	21	14
PCDH11Y	10	10	14	14	22	24	20	26	25	29	17	14
PCDH12	5	3	5	60	38	57	25	23	33	23	23	22
PCDH15	89	161	174	448	335	371	277	167	194	24	8	3
PCDH17	979	1295	1143	912	908	1035	1063	984	1026	1676	1177	1185
PCDH18	57	81	124	4	34	31	666	811	974	168	238	442
PCDH19	0	0	1	1001	971	1072	171	148	117	519	509	663
PCDH20	24	41	52	2	5	3	3057	4584	6293	191	177	430
PCDH7	3	1	7	43	54	31	210	256	221	70	53	64
PCDH8	0	3	0	12	8	18	4	18	14	99	62	36
